epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.435,0.74373,2.4855,0.91739,1,0.08972,0.29662,0.216,0.51164,3.5242,0.83399,0.000652778,0.000652778,0.000652778
2,25.4259,0.57189,1.21108,0.86559,0.99413,0.97263,0.99072,0.85424,0.58404,2.05288,0.97086,0.00129332,0.00129332,0.00129332
3,35.3286,0.58845,0.96537,0.87154,0.99418,0.98154,0.99222,0.85729,0.55745,0.9075,0.91502,0.00190746,0.00190746,0.00190746
4,45.2363,0.55558,0.79852,0.86383,0.99201,0.98851,0.99461,0.89529,0.48205,0.74898,0.90386,0.0018812,0.0018812,0.0018812
5,55.0486,0.53144,0.66581,0.87415,0.9874,0.98851,0.99419,0.90082,0.46784,0.54006,0.87953,0.0018416,0.0018416,0.0018416
6,65.107,0.49309,0.55276,0.8489,0.98295,0.99425,0.98784,0.87738,0.49199,0.9057,0.90325,0.001802,0.001802,0.001802
7,75.0801,0.48576,0.51996,0.86157,0.99424,0.99132,0.99489,0.90908,0.43367,0.42893,0.87034,0.0017624,0.0017624,0.0017624
8,84.9656,0.4789,0.49014,0.86114,0.99313,0.98276,0.99477,0.90347,0.45414,0.46488,0.87322,0.0017228,0.0017228,0.0017228
9,94.7161,0.46721,0.42254,0.85361,0.99234,1,0.99494,0.91711,0.39558,0.34518,0.84881,0.0016832,0.0016832,0.0016832
10,104.612,0.45776,0.41874,0.85038,0.99428,0.99886,0.99494,0.93231,0.40994,0.35446,0.85146,0.0016436,0.0016436,0.0016436
11,114.374,0.4385,0.40026,0.8334,1,0.98774,0.99489,0.93099,0.38372,0.34339,0.84812,0.001604,0.001604,0.001604
12,124.089,0.44569,0.39441,0.83633,0.99428,0.99872,0.99454,0.92296,0.39078,0.31587,0.84265,0.0015644,0.0015644,0.0015644
13,133.796,0.44322,0.37693,0.83905,0.994,1,0.99494,0.93909,0.40494,0.31608,0.85288,0.0015248,0.0015248,0.0015248
14,143.544,0.41947,0.36033,0.82564,0.99427,0.99773,0.99494,0.91951,0.409,0.31121,0.85379,0.0014852,0.0014852,0.0014852
15,153.24,0.41943,0.35209,0.8498,1,0.99837,0.995,0.94819,0.37168,0.29743,0.84598,0.0014456,0.0014456,0.0014456
16,163.025,0.41628,0.34686,0.83661,0.99914,1,0.995,0.92452,0.37382,0.31731,0.8408,0.001406,0.001406,0.001406
17,172.845,0.41812,0.34118,0.82844,0.99722,1,0.995,0.93871,0.36476,0.29312,0.83742,0.0013664,0.0013664,0.0013664
18,182.614,0.40416,0.32338,0.82157,0.9989,1,0.995,0.93577,0.37685,0.27948,0.84297,0.0013268,0.0013268,0.0013268
19,192.339,0.42205,0.33263,0.83788,0.99936,1,0.995,0.95197,0.35703,0.28497,0.84217,0.0012872,0.0012872,0.0012872
20,202.154,0.40184,0.31529,0.8302,0.99383,1,0.99494,0.93559,0.38357,0.27173,0.84413,0.0012476,0.0012476,0.0012476
21,211.817,0.39072,0.30522,0.8204,0.99428,0.99937,0.99494,0.94957,0.3514,0.26894,0.83444,0.001208,0.001208,0.001208
22,221.894,0.40077,0.3123,0.83036,1,0.99949,0.995,0.95353,0.3656,0.27949,0.83559,0.0011684,0.0011684,0.0011684
23,231.561,0.38993,0.29285,0.8138,0.99931,1,0.995,0.94273,0.36367,0.2554,0.84099,0.0011288,0.0011288,0.0011288
24,241.31,0.37471,0.28855,0.8231,1,0.99929,0.995,0.94447,0.34944,0.26914,0.83829,0.0010892,0.0010892,0.0010892
25,250.969,0.36682,0.28102,0.81555,1,0.99338,0.995,0.9485,0.3466,0.25084,0.82607,0.0010496,0.0010496,0.0010496
26,260.7,0.38882,0.29548,0.83247,1,0.9985,0.995,0.94964,0.35195,0.2645,0.83655,0.00101,0.00101,0.00101
27,270.369,0.37888,0.2885,0.82753,0.99962,0.98851,0.99494,0.94502,0.35195,0.26512,0.83238,0.0009704,0.0009704,0.0009704
28,280.077,0.3687,0.28057,0.82132,1,0.99847,0.995,0.94303,0.36335,0.25037,0.83788,0.0009308,0.0009308,0.0009308
29,289.751,0.37303,0.27479,0.82267,1,0.99367,0.995,0.95288,0.3398,0.24741,0.8296,0.0008912,0.0008912,0.0008912
30,299.548,0.36357,0.27275,0.82973,0.99775,1,0.995,0.95116,0.34267,0.24273,0.83081,0.0008516,0.0008516,0.0008516
31,309.182,0.35941,0.26934,0.82098,0.99835,1,0.995,0.95533,0.32679,0.23344,0.82485,0.000812,0.000812,0.000812
32,318.972,0.36583,0.26449,0.82369,0.99816,1,0.995,0.95112,0.32366,0.23569,0.82983,0.0007724,0.0007724,0.0007724
33,328.65,0.35092,0.261,0.80537,0.99286,1,0.99494,0.96123,0.32186,0.22543,0.82469,0.0007328,0.0007328,0.0007328
34,338.427,0.35548,0.25912,0.81181,0.9993,1,0.995,0.95345,0.32381,0.23067,0.82702,0.0006932,0.0006932,0.0006932
35,348.181,0.358,0.26097,0.82175,1,0.99732,0.995,0.95814,0.32844,0.25349,0.82556,0.0006536,0.0006536,0.0006536
36,357.921,0.36226,0.26135,0.81575,0.99955,1,0.995,0.95265,0.33128,0.21481,0.83482,0.000614,0.000614,0.000614
37,367.651,0.35832,0.2551,0.82416,0.99983,1,0.995,0.95521,0.31878,0.20396,0.82377,0.0005744,0.0005744,0.0005744
38,377.404,0.34133,0.24536,0.82027,0.99969,1,0.995,0.96238,0.31855,0.20906,0.81868,0.0005348,0.0005348,0.0005348
39,387.176,0.33046,0.23614,0.81738,0.99967,1,0.995,0.96154,0.30637,0.20694,0.8187,0.0004952,0.0004952,0.0004952
40,396.978,0.33973,0.24257,0.8163,0.99902,1,0.995,0.95779,0.31355,0.20479,0.82148,0.0004556,0.0004556,0.0004556
41,407.787,0.31614,0.22594,0.80085,0.99961,1,0.995,0.96053,0.3317,0.21315,0.82788,0.000416,0.000416,0.000416
42,417.501,0.31292,0.22086,0.80149,0.9996,1,0.995,0.96435,0.31357,0.2066,0.8204,0.0003764,0.0003764,0.0003764
43,427.326,0.31698,0.20962,0.80735,0.99962,1,0.995,0.96254,0.31254,0.20535,0.82099,0.0003368,0.0003368,0.0003368
44,437.024,0.30578,0.20971,0.80271,0.99951,1,0.995,0.95813,0.30457,0.19743,0.8184,0.0002972,0.0002972,0.0002972
45,446.683,0.30297,0.20456,0.80191,0.99968,1,0.995,0.95975,0.30734,0.19626,0.81789,0.0002576,0.0002576,0.0002576
46,456.352,0.29685,0.20122,0.80172,0.99971,1,0.995,0.96881,0.29046,0.18443,0.81467,0.000218,0.000218,0.000218
47,466.122,0.28917,0.19292,0.79091,0.99972,1,0.995,0.96154,0.2987,0.18821,0.81628,0.0001784,0.0001784,0.0001784
48,475.736,0.28935,0.19282,0.79476,0.9997,1,0.995,0.96763,0.29052,0.18272,0.813,0.0001388,0.0001388,0.0001388
49,485.377,0.28489,0.18457,0.79623,0.99965,1,0.995,0.96582,0.29574,0.1792,0.81534,9.92e-05,9.92e-05,9.92e-05
50,495.048,0.27662,0.1791,0.79527,0.99967,1,0.995,0.96607,0.28656,0.17228,0.81456,5.96e-05,5.96e-05,5.96e-05
